"Ticker","Name","Plot"
"BZACCETP Index","CDI","NA"
"BRLUSDCR CMPN Curncy","Carry Real","NA"
"IBOV Index","Ibov","NA"
"IHFAIHFA Index","HF Index","NA"
"BZRFIRFM Index","IRF-M","NA"
"BZRFIMAB Index","IMA B","NA"
"AZQTMAX BZ Equity","AZ Quest Max","F1","AZ QUEST MULTI MAX MSTR FIM"
"KONDORM BZ Equity","Kondor","F3","KONDOR MASTER FI MULTIMERCAD"
"SULAMAB BZ Equity","SulAmerica Evolution","F4","SUL AMERICA EVOLUTION FIM"
"EXCIVPV BZ Equity","Novus Inst.","F5","NOVUS CPT INST MSTR FIM"
"VEHEMFM BZ Equity","Ventor Hedge","F6","VENTOR HEDGE MASTER FI MULTI"
"CLARINS BZ Equity","Claritas Inst.","F8","CLARITAS INSTITUCIONAL FIM"
"OPPTMAS BZ Equity","Opportunity Total","F9","OPPORTUNITY TOTAL MASTER FIM"
"VMSFIMU BZ Equity","Canvas Enduro","F10","CANVAS ENDURO MASTER FI MULT"
"MAUMSTR BZ Equity","Maua Macro","F11","MAUA MACRO MSTR FIM"
"JGPMAXM BZ Equity","JGP Max","F12","JGP MAX MASTER FI MULTIMERCA"
"GAVEAMA BZ Equity","Gavea Macro","F15","GAVEA MACRO MASTER FI MULT"
"SPXNIMF BZ Equity","SPX Nimitz","F16","SPX NIMITZ FEEDER FIQ FI MUL"
"VNTMCMS BZ Equity","Vintage","F17","VINTAGE MACRO MASTER FI MULT"
"ABSVRTX BZ Equity","Absolute Vertex","F18","ABSOLUTE VERTEX MASTER FIM"
"ITAHDPL BZ Equity","Itau Hedge Plus","F19","ITAU HEDGE PLUS FIM"
"STRMST BZ Equity","Ibiuna Hedge","F20","IBIUNA HEDGE ST MASTER FIM"
"BR1908E BZ Equity","Truxt Macro","F21","TRUXT MACRO MASTER FIM"
"MCRCHRN BZ Equity","Kinea Chronos","F22","KINEA CHRONOS FIM"
"DARTFIM BZ Equity","Garde D'Artagnan","F23","GARDE D'ARTAGNAN MASTER FIM"
"KPZETAM BZ Equity","Kapitalo Zeta","F24","KAPITALO MASTER II FIM"
"XTRAFI BZ Equity","Bahia Marau","F25","BAHIA AM MAR MAS RFC FIM"
"ADMACRO BZ Equity","Adam Macro","F26","ADAM MACRO MASTER FI MULT"
"GALMSTR BZ Equity","Safra Galileo","F27","SAFRA GALILEO MSTR FIM"
"HGVERDE BZ Equity","Verde","F28","VERDE MASTER FI MULT"
"SAM49II BZ Equity","Apollo","F29","APOLLO FIM CP"
"LEGCAPF BZ Equity","Legacy","F29","LEGACY CPT FIC FIM"
"SUAMOED BZ Equity","SulAmerica Endurance","F29","SUL AMERICA ENDURANCE FIM"
"SANRDST BZ Equity","SulAmerica Tatico","F29","SUL AMERICA TATICO FIM"
"MURANOF BZ Equity","Murano","F29","MURANO FIC FI MULTIMERCADO"
"KAD30FI BZ Equity","Kadima","F29","KADIMA II FICFI MULTIMERCADO"
"ZARAMST BZ Equity","Zarathustra","F29","VISIA ZARATHUSTRA MSTR FIM"
"QUANTMM BZ Equity","Bozano Quant","F29","BOZANO QUANT FI MULT"
